	APL	CO2	COBL9	COR	E30	GL2	PET111	S17	S18	S32	S4	SCOL	SCR	WER	WOL	WOX5	Elong	Mat	Mer	Wrt	CHX	MOCK
AT2G18938	0.319873667	0.240567667	0.214104	0.157603333	0	0.150024	0.244264667	0.096068667	0.71182	0	0.163434667	0.271056	0.529459667	0.183801667	0.204899667	0.2304	0.205364	0.970389667	0.227764233	0.624026667	0.219224	0.590465667
AT2G18940	2.677073333	5.610246667	0.587165667	1.103096333	2.044686667	3.78569	3.53362	3.223753333	0.983727333	5.253663333	8.13276	4.089553333	4.06912	5.206843333	5.20772	6.5688	4.586173333	4.092913333	11.96856667	6.82028	6.206346667	5.921303333
AT2G18950	1.387633333	2.262753333	0.499076667	0.31032	0.977897667	1.149761333	1.813586	0.251445133	0.193097333	1.881702333	0.468882667	1.14291	0.864859	0.474030667	1.2931	9.65815	0.531051	1.503753333	2.168613333	2.21217	2.532433333	2.95593
AT2G18960	545.8413333	75.3882	164.53	183.9653333	102.3323	146.2066667	132.8303333	315.739	109.3013333	92.21753333	83.05033333	105.7853333	93.1675	122.045	99.3521	53.329	184.7463333	169.7253333	80.7688	168.978	67.36993333	209.0923333
AT2G18969	0.966475667	2.67977	2.25341	13.61563333	0.784718667	3.24849	0.9703277	0.424563667	1.564359	1.026007667	0.378543	2.05048	3.947006667	0.994865667	1.26715	0.665700667	10.11374333	4.311416667	1.678143533	2.64134	3.174943333	4.911603333
AT2G18970	0	0.316992333	0	1.947016667	0.122802033	0.124724	0.197814333	0.017168567	0.015964267	0.0184125	0.026697633	1.11E-05	0	0.015105029	0.344086667	0.011121467	1.107095	2.544356667	0.213213033	0.596311667	2.587396667	1.710763333
AT2G18980	36.27413333	5.184306667	762.1796667	44.0143	25.4215	139.5911	57.605	9.103543333	33.74043333	12.43315333	14.21692333	72.0816	51.0572	124.1027	91.63323333	13.21326	410.002	8.019376667	29.42066667	88.65086667	2.8763	62.93513333
AT2G18990	36.5474	45.13526667	61.45676667	64.5054	13.73246667	78.25486667	47.61626667	31.09876667	47.55266667	58.28673333	76.27013333	65.92753333	58.46863333	70.517	55.8936	40.94713333	86.83566667	18.48153333	102.6112	57.78746667	8.547723333	41.60213333
AT2G19000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098544333	0	0	0.059550333
AT2G19010	0	0	0	0.060164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040475	0	0	0
AT2G19020	0	0	1.23926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G19030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G19040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G19045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G19050	0.644665667	0	8.542283333	0	0.365114	2.108283333	0.357079667	0.035112333	0.176465	0.2604464	0	0.959945667	0.294663133	0.740591667	0.788553667	0.168072	5.37482	3.94371	0.0406764	1.610521	0.023702533	2.3305
AT2G19060	1.253166	0.068372067	54.7622	0.430415	0.993886333	8.784613333	1.96018	0.458558667	1.113884333	0.687185667	0.150018667	4.227683333	1.485665333	5.47294	5.770723333	0.491340667	11.50065333	42.38576667	0.012574105	9.84023	2.53336	17.28826667
AT2G19070	0.026722467	0	0.219217533	0	0.062374667	0.042636667	0	0	0	0	0.016861067	0.018778467	0	0.019702467	0.117681	0	0.066796167	0	0.005384133	0.004781967	0.0136942	0.0103643
AT2G19080	15.18683333	27.83233333	15.94853333	11.31515	16.52236667	18.2412	17.11666667	12.02217667	8.563816667	18.26083333	29.85983333	15.49443333	13.63926667	19.067	28.0495	23.08973333	29.76816667	25.87383333	52.10006667	22.99253333	14.05366667	19.55253333
AT2G19090	29.08336667	9.074783333	1.238776667	0.615611	2.204786667	4.393676667	4.081173333	13.56794667	1.548024	35.30846667	18.3856	6.547403333	5.748183333	5.575113333	10.54514333	21.18293333	2.48155	1.516204667	12.2609	7.959023333	5.485513333	6.72846
AT2G19110	14.14803333	1.551212333	2.00979	1.008320333	6.799723333	1.202005333	1.089871	123.91	8.091006667	13.47373333	11.43393667	7.856733333	1.927373333	0.541574667	3.407	4.20297	7.208596667	45.49476667	5.324826667	40.68696667	4.237463333	42.4175
AT2G19120	4.474936667	3.396546667	1.154365	0.476402	2.124633333	2.1537	2.51389	7.45989	0.849356667	4.491436667	5.0967	2.515613333	1.79654	2.697936667	3.423196667	4.63527	1.12439	1.129446	3.251776667	2.056366667	3.059313333	1.953866667
AT2G19130	0.1585245	0.107163	3.88668	0.599538	1.302446667	2.208791333	2.084050333	0.531586667	0.128342667	0.0145609	0.158165433	0.323446333	0.331627667	0.790272267	1.226883667	0.1980998	3.926033333	32.09856667	0.0667233	10.91460333	36.0228	14.5072
AT2G19146	0	0	0	0	0	0	0	0.123609333	0	0	0	0	0	0	0	0	0	0.052306333	0	0.041545667	0	0.789894333
AT2G19150	0.213026333	0.041738667	0.103733	0	0.170148667	0	0	1.952496667	0	0.168413333	0	0.312098667	0	0.034066333	0.031192533	0	0.033712467	1.514203333	0.007751567	2.016353333	0.068677867	2.85092
AT2G19160	11.38873667	12.774	62.393	19.95553333	18.759	16.25716667	12.29785333	16.11933333	63.96423333	9.98195	13.35216667	11.12514333	10.29984	15.65603333	18.96273333	11.85806667	34.02193333	19.1163	16.18873333	19.2597	25.2571	26.6477
AT2G19170	7.01353	11.04486667	2.41745	7.472233333	2.065527333	9.091163333	5.82359	10.58577	9.031793333	8.950226667	6.036763333	5.608963333	4.636506667	7.004946667	8.53782	10.18952667	7.393036667	0.505608667	8.58258	4.75567	2.25985	3.128816667
AT2G19180	17.26236667	20.35776667	18.59786667	16.07006667	58.8256	10.43725	22.74736667	15.5013	23.80353333	15.7658	23.58966667	14.00043333	12.835	10.57209333	15.2076	24.63526667	20.30913333	44.21636667	24.2355	18.19623333	36.4314	15.80086667
AT2G19190	0.096136733	0.091834	1.114620667	0.318941667	0.176148567	1.156243	0.175213	0.107570467	0.248211367	0.043389533	0.077377467	0.0990781	0.0334131	0.276226	0.060445167	0	0.731641667	32.4651	0.060914367	1.611273333	63.03906667	3.14834
